athlete_id,name,dob,height_in,reach_in,stance
2220951,Greg Hardy,1988-07-28,77.0,80.5,Orthodox
2223033,Austen Lane,1987-11-09,78.0,80.0,Orthodox
2312150,Mohammed Usman,1989-04-01,74.0,79.0,Orthodox
2335243,Carlos Condit,1984-04-26,74.0,75.5,Orthodox
2335298,Brock Lesnar,1977-07-12,75.0,81.0,Orthodox
2335301,Frank Mir,1979-05-24,75.0,79.0,Southpaw
2335338,Randy Couture,1963-06-22,74.0,75.0,Orthodox
2335447,Anderson Silva,1975-04-14,74.0,77.0,Southpaw
2335448,Patrick Cote,1980-02-29,71.0,75.0,Orthodox
2335449,Thales Leites,1981-06-09,73.0,78.0,Orthodox
2335458,James Irvin,1978-09-12,74.0,75.0,Orthodox
2335464,Chuck Liddell,1969-12-17,74.0,76.5,Orthodox
2335465,Rashad Evans,1979-09-25,71.0,75.0,Orthodox
2335467,Wanderlei Silva,1976-07-03,71.0,74.0,Orthodox
2335469,Keith Jardine,1975-10-31,74.0,76.0,Orthodox
2335470,Quinton Jackson,1978-06-20,73.0,73.0,Orthodox
2335472,Tito Ortiz,1975-01-23,75.0,74.0,Orthodox
2335475,Nate Marquardt,1979-04-20,72.0,74.0,Orthodox
2335483,Ryan Jensen,1977-09-20,70.0,76.0,Orthodox
2335486,Alan Belcher,1984-04-24,74.0,75.0,Orthodox
2335488,Ricardo Almeida,1976-11-29,71.0,74.0,Orthodox
2335489,Nick Catone,1981-09-01,72.0,72.5,Southpaw
2335490,Tim Credeur,1977-07-09,75.0,75.0,Orthodox
2335491,Martin Kampmann,1982-04-17,72.0,72.0,Orthodox
2335496,Joe Doerksen,1977-09-10,72.0,75.0,Orthodox
2335497,Dan Henderson,1970-08-24,71.0,74.0,Orthodox
2335498,Rich Franklin,1974-10-05,73.0,76.0,Southpaw
2335513,Chris Leben,1980-07-21,71.0,73.0,Southpaw
2335514,Mauricio Rua,1981-11-25,73.0,76.0,Orthodox
2335515,Mark Coleman,1964-12-20,73.0,75.0,Orthodox
2335516,Alistair Overeem,1980-05-17,76.0,80.0,Orthodox
2335519,Cyrille Diabate,1973-06-10,78.0,81.0,Southpaw
2335521,Antonio Rodrigo Nogueira,1976-06-02,75.0,77.0,Orthodox
2335522,Forrest Griffin,1979-07-01,75.0,77.0,Orthodox
2335524,Lyoto Machida,1978-05-30,73.0,74.0,Southpaw
2335525,Stephan Bonnar,1977-04-04,76.0,79.0,Orthodox
2335526,Thiago Silva,1982-11-12,73.0,74.0,Orthodox
2335527,Matt Hamill,1976-10-05,73.0,76.0,Orthodox
2335530,Ryan Bader,1983-06-07,74.0,73.0,Orthodox
2335531,Tim Boetsch,1981-01-28,72.0,74.0,Orthodox
2335532,Jason Brilz,1975-07-07,71.0,71.5,Orthodox
2335602,Michael Bisping,1979-02-28,73.0,75.5,Orthodox
2335629,BJ Penn,1978-12-13,69.0,70.0,Orthodox
2335633,Steve Cantwell,1986-12-08,74.0,75.0,Orthodox
2335634,Luiz Cane,1981-04-02,74.0,77.0,Southpaw
2335636,Tomasz Drwal,1982-01-22,73.0,76.0,Orthodox
2335639,Jon Jones,1987-07-19,76.0,84.5,Orthodox
2335640,Kyle Kingsbury,1982-03-22,76.0,79.0,Orthodox
2335641,Tom Lawlor,1983-05-15,72.0,75.0,Southpaw
2335643,Vinny Magalhaes,1984-07-02,75.0,75.0,--
2335644,Eliot Marshall,1980-07-07,75.0,77.0,Orthodox
2335647,Mark Munoz,1978-02-09,72.0,72.0,Orthodox
2335650,Eric Schafer,1977-09-20,75.0,76.5,Orthodox
2335651,Krzysztof Soszynski,1977-08-22,73.0,77.5,Open Stance
2335652,Brandon Vera,1977-10-10,74.0,76.0,Orthodox
2335654,Cain Velasquez,1982-07-28,73.0,77.0,Orthodox
2335655,Cheick Kongo,1975-05-17,76.0,84.0,Orthodox
2335656,Shane Carwin,1975-01-04,74.0,80.0,Orthodox
2335657,Mostapha Al-Turk,1973-07-14,74.0,77.5,Orthodox
2335658,Pat Barry,1979-07-07,71.0,74.5,Orthodox
2335659,Georges St-Pierre,1981-05-19,71.0,76.0,Orthodox
2335660,Thiago Alves,1983-10-03,69.0,70.0,Orthodox
2335661,Matt Hughes,1973-10-13,69.0,73.0,Switch
2335662,Matt Serra,1974-06-02,66.0,68.0,Orthodox
2335663,Anthony Johnson,1984-03-06,74.0,78.0,Orthodox
2335664,Josh Koscheck,1977-11-30,70.0,73.0,Orthodox
2335665,Jon Fitch,1978-02-24,72.0,76.0,Orthodox
2335666,Matt Brown,1981-01-10,72.0,75.0,Orthodox
2335670,Chris Lytle,1974-08-18,71.0,68.0,Orthodox
2335671,Diego Sanchez,1981-12-31,70.0,72.0,Southpaw
2335672,Joe Stevenson,1982-06-15,67.0,70.0,Orthodox
2335673,Jeremy Stephens,1986-05-25,69.0,71.0,Orthodox
2335674,Clay Guida,1981-12-08,67.0,70.0,Orthodox
2335675,Kenny Florian,1976-05-26,70.0,74.0,Southpaw
2335676,Joe Lauzon,1984-05-22,70.0,71.5,Orthodox
2335677,Tyson Griffin,1984-04-20,66.0,68.5,Orthodox
2335678,Sean Sherk,1973-08-05,66.0,67.0,Orthodox
2335679,Nate Diaz,1985-04-16,72.0,76.0,Southpaw
2335682,Urijah Faber,1979-05-14,66.0,67.0,Orthodox
2335685,Mac Danzig,1980-01-02,68.0,70.0,Orthodox
2335687,Rafael Dos Anjos,1984-10-26,68.0,70.0,Southpaw
2335688,Efrain Escudero,1986-01-15,69.0,77.0,Orthodox
2335689,Gray Maynard,1979-05-09,69.0,70.0,Orthodox
2335690,Cole Miller,1984-04-28,73.0,74.0,Orthodox
2335691,Josh Neer,1983-03-24,71.0,72.5,Orthodox
2335693,Phillipe Nover,1984-02-03,69.0,72.0,Orthodox
2335694,Frankie Edgar,1981-10-16,66.0,68.0,Orthodox
2335695,Yushin Okami,1981-07-21,74.0,75.0,Southpaw
2335696,Dan Miller,1981-06-30,73.0,74.0,Orthodox
2335698,Joe Riggs,1982-09-23,72.0,70.0,Southpaw
2335699,Frank Trigg,1972-05-07,68.0,71.0,Southpaw
2335701,Karo Parisyan,1982-08-28,70.0,72.0,Orthodox
2335702,Ivan Menjivar,1982-05-30,66.0,64.0,Orthodox
2335703,Jeff Curran,1977-09-02,66.0,69.0,Orthodox
2335706,Yves Edwards,1976-09-30,69.0,73.0,Southpaw
2335709,Nick Diaz,1983-08-02,73.0,76.0,Southpaw
2335716,Spencer Fisher,1976-05-09,67.0,70.0,Southpaw
2335717,Mark Bocek,1981-10-24,68.0,75.0,Orthodox
2335718,Jim Miller,1983-08-30,68.0,71.0,Southpaw
2335719,Steve Steinbeiss,,75.0,75.0,Orthodox
2335725,Junior Dos Santos,1984-01-30,76.0,77.0,Orthodox
2335727,Stefan Struve,1988-02-18,83.0,84.5,Orthodox
2335734,Yoshiyuki Yoshida,1974-05-10,71.0,70.0,Southpaw
2335735,Paulo Thiago,1981-01-25,71.0,74.5,Orthodox
2335736,Paul Taylor,1979-12-15,72.0,72.0,Orthodox
2335737,Kendall Grove,1982-12-11,78.0,79.0,Orthodox
2335744,CB Dollaway,1983-08-10,74.0,76.0,Orthodox
2335748,Brian Stann,1980-09-24,73.0,74.0,Orthodox
2335754,Ed Herman,1980-10-02,73.0,77.0,Orthodox
2335756,Rob Kimmons,1981-01-30,70.0,73.0,Orthodox
2335759,Brad Blackburn,,70.0,73.0,Orthodox
2335764,Rousimar Palhares,1980-02-20,68.0,71.0,Orthodox
2335766,Jorge Rivera,1972-02-28,73.0,73.0,Orthodox
2335767,Kyle Bradley,1982-08-19,70.0,71.0,Orthodox
2335770,Justin Buchholz,1983-08-22,71.0,73.0,Orthodox
2335771,Jason MacDonald,1975-06-03,75.0,80.0,Orthodox
2335772,Evan Dunham,1981-12-18,70.0,70.0,Southpaw
2335773,Nate Quarry,1972-03-18,72.0,72.5,Open Stance
2335774,Mike Massenzio,1982-11-01,74.0,73.5,Southpaw
2335777,Goran Reljic,1984-03-20,75.0,81.0,Southpaw
2335778,Demian Maia,1977-11-06,73.0,72.0,Southpaw
2335779,Amir Sadollah,1980-08-27,71.0,75.0,Orthodox
2335780,Rob Emerson,1981-07-30,70.0,70.0,Orthodox
2335782,Terry Etim,1985-10-19,73.0,73.0,Orthodox
2335783,Manvel Gamburyan,1981-05-08,65.0,67.0,Orthodox
2335784,Roan Carneiro,1978-06-02,71.0,74.5,Orthodox
2335785,Alessio Sakara,1981-09-02,72.0,72.0,Orthodox
2335787,George Sotiropoulos,1977-07-09,70.0,71.0,Orthodox
2335789,Matt Grice,1981-07-29,68.0,70.0,Orthodox
2335790,Jorge Santiago,1980-10-09,73.0,74.0,Orthodox
2335793,Aaron Simpson,1974-07-20,73.0,73.0,Orthodox
2335795,Shannon Gugerty,1981-12-30,70.0,71.0,Orthodox
2335796,Chael Sonnen,1977-04-03,73.0,74.0,Southpaw
2335797,Dennis Siver,1979-01-13,67.0,70.0,Orthodox
2335798,Dustin Hazelett,1986-04-29,73.0,76.5,Orthodox
2335800,Melvin Guillard,1983-03-30,69.0,68.0,Orthodox
2335801,George Roop,1981-11-10,73.0,72.0,Orthodox
2335802,Rory Markham,1982-03-25,72.0,71.0,Orthodox
2335804,Marcus Davis,1973-08-24,68.0,70.0,Southpaw
2335806,Jonathan Goulet,1979-07-13,72.0,73.5,Orthodox
2335807,Tamdan McCrory,1986-11-05,76.0,78.0,Switch
2335808,John Howard,1983-03-01,67.0,71.0,Orthodox
2335809,Aaron Riley,1980-12-09,68.0,69.0,Southpaw
2335810,John Hathaway,1987-07-01,74.0,75.5,Orthodox
2335812,Kurt Pellegrino,1979-05-07,68.0,70.5,Orthodox
2335813,Paul Kelly,1984-09-12,69.0,70.0,Orthodox
2335818,Dong Hyun Kim,1981-11-17,74.0,76.0,Southpaw
2335819,Mike Swick,1979-06-19,73.0,77.0,Orthodox
2335820,Ben Saunders,1983-04-13,74.0,77.5,Orthodox
2335825,Keita Nakamura,1984-05-22,71.0,73.0,Southpaw
2335828,Matthew Riddle,1986-01-14,73.0,76.0,Southpaw
2335844,Aleksei Oleinik,1977-06-20,74.0,80.0,Orthodox
2335867,David Loiseau,1979-12-17,72.0,76.5,Orthodox
2335875,Mirko Filipovic,1974-09-10,74.0,73.0,Southpaw
2335880,Gilbert Yvel,1976-06-30,74.0,77.0,Orthodox
2335888,Dominick Cruz,1985-03-09,68.0,68.0,Orthodox
2354016,Miguel Torres,1981-01-18,69.0,76.0,Orthodox
2354051,Jason Miller,1980-12-24,73.0,,Orthodox
2354054,John Alessio,1979-07-05,70.0,72.5,Orthodox
2354057,Vitor Belfort,1977-04-01,72.0,74.0,Southpaw
2354086,Leonard Garcia,1979-07-14,69.0,68.0,Orthodox
2354087,Cub Swanson,1983-11-02,68.0,70.0,Orthodox
2354088,Cole Escovedo,1981-08-30,67.0,72.0,Orthodox
2354101,Dustin Neace,1986-09-12,69.0,,--
2354104,Joshua Burkman,1980-04-10,70.0,72.0,Orthodox
2354119,Renzo Gracie,1967-03-11,70.0,,Orthodox
2354121,Duane Ludwig,1978-08-04,70.0,70.0,Orthodox
2354127,Yoshihiro Akiyama,1975-07-29,70.0,75.0,Orthodox
2354128,Sam Stout,1984-04-23,69.0,70.0,Orthodox
2354130,Johny Hendricks,1983-09-12,69.0,69.0,Southpaw
2354141,TJ Waldburger,1988-04-25,71.0,75.0,Orthodox
2354170,Josh Grispi,1988-10-14,71.0,74.0,Orthodox
2354193,Thiago Tavares,1984-11-08,67.0,68.5,Orthodox
2354205,Dan Hardy,1982-05-17,72.0,74.0,Orthodox
2354208,Forrest Petz,1975-09-22,69.0,71.5,Orthodox
2354217,Dan Lauzon,1988-03-30,70.0,,Orthodox
2354218,Matt Wiman,1983-09-19,70.0,68.0,Orthodox
2354220,Junior Assuncao,1981-06-24,69.0,72.0,Orthodox
2354228,James McSweeney,1980-10-24,76.0,77.0,Switch
2354239,Gabriel Gonzaga,1979-05-18,74.0,76.0,Orthodox
2354241,Josh Barnett,1977-11-10,75.0,78.0,Orthodox
2354243,Caol Uno,1975-05-08,67.0,70.0,Southpaw
2354258,Bart Palaszewski,1983-05-30,69.0,70.0,Orthodox
2354264,Parker Porter,1985-04-22,72.0,75.0,Orthodox
2354269,Andrei Arlovski,1979-02-04,75.0,77.0,Orthodox
2354284,Jesse Bongfeldt,,72.0,,Orthodox
2354293,Jesse Taylor,1983-01-02,73.0,73.0,Orthodox
2354307,Matt Veach,,67.0,,Orthodox
2354336,Gleison Tibau,1983-07-10,68.0,68.0,Southpaw
2354347,Mark Hunt,1974-03-23,70.0,72.0,Orthodox
2354352,TJ Grant,1984-02-26,70.0,72.5,Orthodox
2354359,Jason Reinhardt,,66.0,,Orthodox
2354364,Raphael Assuncao,1982-07-19,65.0,66.5,Orthodox
2354524,Takanori Gomi,1978-09-22,68.0,70.0,Southpaw
2354533,Fabricio Werdum,1977-07-30,76.0,77.0,Orthodox
2354539,Gabe Ruediger,1977-08-29,70.0,,Orthodox
2354544,Jamie Varner,1984-10-12,68.0,71.5,Orthodox
2354553,Kevin Ferguson,1974-02-08,74.0,77.0,Orthodox
2354554,Seth Petruzelli,1979-12-03,72.0,76.0,Orthodox
2354558,Tonya Evinger,1981-06-04,67.0,70.0,Orthodox
2354560,Julie Kedzie,1981-03-18,65.0,64.5,Orthodox
2354562,Rosi Sexton,1977-07-16,63.0,63.0,Orthodox
2354564,Cris Cyborg,1985-07-09,68.0,69.0,Orthodox
2354567,Shayna Baszler,1980-08-08,67.0,67.8,Orthodox
2381659,Rogerio Nogueira,1976-06-02,74.0,75.0,Southpaw
2431258,Robbie Lawler,1982-03-20,71.0,74.0,Southpaw
2431263,Jesse Forbes,1984-10-24,74.0,75.0,Southpaw
2431276,Chris Tuchscherer,1975-09-08,74.0,76.0,Orthodox
2431287,Tim Hague,1983-05-09,76.0,76.0,Orthodox
2431313,Gegard Mousasi,1985-08-01,74.0,76.0,Orthodox
2431314,Jacare Souza,1979-12-07,73.0,72.0,Orthodox
2431330,Paul Buentello,1974-01-16,75.0,77.0,Orthodox
2431333,Eddie Alvarez,1984-01-11,69.0,69.0,Orthodox
2431339,KJ Noons,1982-12-07,70.0,70.0,Orthodox
2431357,Siyar Bahadurzada,1984-04-17,71.0,73.0,Orthodox
2431360,Jay Hieron,1976-07-29,71.0,75.0,Orthodox
2431361,Jason High,1981-10-12,68.0,73.0,Southpaw
2431363,Delson Heleno,1977-11-16,71.0,,Orthodox
2447601,Paul Daley,1983-02-21,69.0,76.0,Orthodox
2447635,Takeya Mizugaki,1983-12-16,67.0,68.5,Orthodox
2447636,Brian Bowles,1980-06-22,67.0,70.5,Orthodox
